mingcheng,neirong,pingfen,renshu
公民凯恩 Citizen Kane,导演: 奥逊·威尔斯 主演: 奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔 类型: 剧情 / 悬疑 制片国家/地区: 美国 年份: 1941,8.8,(96788人评价)
迷魂记 Vertigo,导演: 阿尔弗雷德·希区柯克 主演: 詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯 类型: 爱情 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1958,8.7,(101367人评价)
2001太空漫游 2001: A Space Odyssey,导演: 斯坦利·库布里克 主演: 凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特 类型: 科幻 / 惊悚 / 冒险 制片国家/地区: 英国/美国 年份: 1968,8.9,(264095人评价)
游戏规则 La règle du jeu,导演: 让·雷诺阿 主演: 诺拉·格雷戈尔 / 波莱特·杜博斯特 / 米拉·帕雷利 类型: 喜剧 / 剧情 制片国家/地区: 法国 年份: 1939,8.4,(9802人评价)
东京物语 東京物語,导演: 小津安二郎 主演: 笠智众 / 原节子 / 杉村春子 类型: 剧情 / 家庭 制片国家/地区: 日本 年份: 1953,9.1,(119873人评价)
教父 The Godfather,导演: 弗朗西斯·福特·科波拉 主演: 马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩 类型: 剧情 / 犯罪 制片国家/地区: 美国 年份: 1972,9.3,(821831人评价)
日出 Sunrise: A Song of Two Humans,导演: F·W·茂瑙 主演: 乔治·奥布莱恩 / 珍妮·盖诺 / 玛格丽特·利文斯顿 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1927,8.8,(12411人评价)
搜索者 The Searchers,导演: 约翰·福特 主演: 约翰·韦恩 / 杰弗里·亨特 / 维拉·迈尔斯 类型: 剧情 / 西部 / 冒险 制片国家/地区: 美国 年份: 1956,7.8,(7306人评价)
七武士 七人の侍,导演: 黑泽明 主演: 三船敏郎 / 志村乔 / 津岛惠子 类型: 动作 / 冒险 / 剧情 制片国家/地区: 日本 年份: 1954,9.3,(167488人评价)
现代启示录 Apocalypse Now,导演: 弗朗西斯·福特·科波拉 主演: 马丁·辛 / 马龙·白兰度 / 罗伯特·杜瓦尔 类型: 剧情 / 战争 制片国家/地区: 美国 年份: 1979,8.5,(91783人评价)
