城区,类型,每平方/元,小区,销售状态
源城城区,住宅,5500,河源雅居乐明珠城,在售
龙川城区,住宅,6000,碧桂园·凤凰上城,在售
源城城区,住宅,6864,友诚丽苑,在售
源城城区,住宅,4999,龙光城,在售
东源城区,住宅,5900,新河中央,在售
东源城区,住宅,7999,河源雅居乐美的·源著,在售
源城城区,住宅,6500,坚基·风光里,在售
源城城区,住宅,5999,河源万达东江城,在售
源城城区,住宅,6000,汇景·九里湾花园,在售
东源城区,住宅,6495,阳光美居,待售
紫金城区,住宅,4500,嘉葆润永安新城,在售
源城城区,住宅,6200,江湾·湖光印,在售
源城城区,住宅,7800,河源万达CBD,在售
源城城区,住宅,5900,雅居乐金麟府,在售
源城城区,住宅,9000,河源客天下国际旅游度假区,在售
东源城区,住宅,6000,锦云颐和花园,在售
东源城区,住宅,5800,霸王花·东城国际,在售
东源城区,住宅,6388,河源美的云筑,在售
源城城区,住宅,7800,龙光玖云臺,在售
源城城区,住宅,8800,东江盛世,在售
和平城区,住宅,5900,碧桂园·公园上城,在售
和平城区,住宅,4800,和平印象新天地,在售
源城城区,住宅,7500,河源中梁首府,在售
东源城区,住宅,8700,理想家园,在售
源城城区,住宅,6188,保利·生态城,在售
源城城区,住宅,6000,中兴体育新城,在售
东源城区,住宅,7800,雅居乐·悦江,在售
紫金城区,住宅,4300,紫金县江湾明珠,在售
东源城区,住宅,7300,河源美的城,在售
和平城区,住宅,5800,和平碧桂园·星钻,在售
源城城区,住宅,5500,河源恒大雅苑,在售
源城城区,住宅,4500,一通麓湖国际,在售
东源城区,住宅,6200,桃源国际,在售
源城城区,住宅,15500,东江湾1号,在售
紫金城区,住宅,6000,紫金碧桂园,在售
源城城区,住宅,5700,铭成华府,在售
源城城区,住宅,4800,龙光玖誉湖,在售
源城城区,住宅,8588,泰和龙岸,在售
源城城区,住宅,5200,维景南城花园,在售
东源城区,住宅,5980,胜业豪庭,在售
紫金城区,住宅,5900,紫金碧桂园·翠湖湾,在售
源城城区,住宅,5888,万隆•钓鱼台一号,在售
东源城区,住宅,5999,东城豪庭,在售
龙川城区,住宅,6000,新城豪庭,在售
东源城区,住宅,5680,御景豪园,在售
源城城区,住宅,5500,河源雅居乐明珠城,在售
龙川城区,住宅,6000,碧桂园·凤凰上城,在售
源城城区,住宅,6864,友诚丽苑,在售
源城城区,住宅,4999,龙光城,在售
东源城区,住宅,5900,新河中央,在售
东源城区,住宅,7999,河源雅居乐美的·源著,在售
源城城区,住宅,6500,坚基·风光里,在售
源城城区,住宅,5999,河源万达东江城,在售
源城城区,住宅,6000,汇景·九里湾花园,在售
东源城区,住宅,6495,阳光美居,待售
紫金城区,住宅,4500,嘉葆润永安新城,在售
源城城区,住宅,6200,江湾·湖光印,在售
源城城区,住宅,7800,河源万达CBD,在售
源城城区,住宅,5900,雅居乐金麟府,在售
源城城区,住宅,9000,河源客天下国际旅游度假区,在售
东源城区,住宅,6000,锦云颐和花园,在售
东源城区,住宅,5800,霸王花·东城国际,在售
东源城区,住宅,6388,河源美的云筑,在售
源城城区,住宅,7800,龙光玖云臺,在售
源城城区,住宅,8800,东江盛世,在售
和平城区,住宅,5900,碧桂园·公园上城,在售
和平城区,住宅,4800,和平印象新天地,在售
源城城区,住宅,7500,河源中梁首府,在售
东源城区,住宅,8700,理想家园,在售
源城城区,住宅,6188,保利·生态城,在售
源城城区,住宅,6000,中兴体育新城,在售
东源城区,住宅,7800,雅居乐·悦江,在售
紫金城区,住宅,4300,紫金县江湾明珠,在售
东源城区,住宅,7300,河源美的城,在售
和平城区,住宅,5800,和平碧桂园·星钻,在售
源城城区,住宅,5500,河源恒大雅苑,在售
源城城区,住宅,4500,一通麓湖国际,在售
东源城区,住宅,6200,桃源国际,在售
源城城区,住宅,15500,东江湾1号,在售
紫金城区,住宅,6000,紫金碧桂园,在售
源城城区,住宅,5700,铭成华府,在售
源城城区,住宅,4800,龙光玖誉湖,在售
源城城区,住宅,8588,泰和龙岸,在售
源城城区,住宅,5200,维景南城花园,在售
东源城区,住宅,5980,胜业豪庭,在售
紫金城区,住宅,5900,紫金碧桂园·翠湖湾,在售
源城城区,住宅,5888,万隆•钓鱼台一号,在售
东源城区,住宅,5999,东城豪庭,在售
龙川城区,住宅,6000,新城豪庭,在售
东源城区,住宅,5680,御景豪园,在售
源城城区,住宅,6800,碧桂园•未来城,在售
源城城区,住宅,5300,泰和学苑,在售
紫金城区,住宅,4800,紫金·荣耀城,在售
东源城区,住宅,5388,碧桂园凤凰名筑,在售
东源城区,住宅,5800,东海国际新城,在售
源城城区,住宅,6864,中心华府,待售
源城城区,住宅,6864,尚璟国际,待售
源城城区,住宅,9500,巴伐利亚庄园,在售
源城城区,住宅,7000,宝豪·御龙湾,在售
龙川城区,住宅,5800,兴泰花园三期,在售
和平城区,住宅,5400,华城钻石,在售
和平城区,住宅,5475,东新翡翠珑悦,待售
紫金城区,住宅,4350,河源敏捷珑山源著,售罄
东源城区,住宅,6600,浩创花语城,售罄
源城城区,住宅,9600,龙光玖龙府,售罄
源城城区,住宅,6500,三友南城,售罄
源城城区,住宅,6864,宁联天和城,售罄
源城城区,住宅,6864,华侨城,售罄
源城城区,住宅,7600,河源长胜国际,售罄
源城城区,住宅,12000,东江湾,售罄
源城城区,住宅,5500,东方尊御,售罄
源城城区,住宅,4500,美林湖,售罄
东源城区,住宅,4500,万绿桃源,售罄
和平城区,住宅,3800,华城国际,售罄
源城城区,住宅,4300,中心壹号教育城,售罄
东源城区,住宅,5559,润丰天虹花园,售罄
源城城区,住宅,6864,康柏丽景园,售罄
东源城区,住宅,3480,恒宝·星河湾,售罄
源城城区,住宅,3500,南门居,售罄
源城城区,住宅,4700,华达·财富港,售罄
东源城区,住宅,4500,新域蓝山,售罄
龙川城区,住宅,5933,长鸿·龙宸桦府,售罄
源城城区,住宅,6864,华泰花园,售罄
龙川城区,住宅,5933,港晟豪庭,售罄
