楼盘,月租/元,城区,面积/m²,居室
深业塞纳湾,1800,东源城区,78㎡,2室
霸王花月亮湾,2200,东源城区,120㎡,3室
和平1号花园,1500,和平城区,100㎡,3室
和平碧桂园,2400,和平城区,140㎡,4室
华城国际,1600,和平城区,135㎡,3室
江山一品,2500,源城城区,108.61㎡,3室
碧桂园东江凤凰城,1000,源城城区,86.00㎡,2室
龙光城,1200,源城城区,87.25㎡,3室
和平中心花园,1100,和平城区,120㎡,3室
坚基公馆,1600,源城城区,85㎡,2室
邦达新村,1400,源城城区,130㎡,3室
龙光玖龙府,2000,源城城区,116㎡,3室
金沟湾,900,源城城区,35㎡,1室
德润东方银座,900,源城城区,53㎡,1室
坚基公馆,1200,源城城区,43.32㎡,1室
河源大道北117号住宅楼,800,源城城区,35㎡,1室
旺福小区,450,源城城区,22㎡,1室
恒大名都,1200,源城城区,51㎡,1室
碧桂园凤凰湾,2500,源城城区,188㎡,4室
润宏居,400,源城城区,28㎡,1室
恒大名都,1700,源城城区,70㎡,2室
龙光城,1800,源城城区,100㎡,3室
雅居乐花园,2500,源城城区,91㎡,3室
华达凯旋国际,2000,源城城区,75㎡,2室
坚基公馆,2600,源城城区,101.84㎡,3室
雅居乐花园,4200,源城城区,140㎡,5室
世纪年华,3000,源城城区,105㎡,4室
中泰金泽苑,1100,源城城区,68㎡,2室
坚基公馆,2000,源城城区,63㎡,2室
坚基公馆,1800,源城城区,59㎡,2室
祥福商住楼,1000,源城城区,99㎡,3室
雅居乐花园新地,2600,源城城区,106㎡,3室
金色领地,650,源城城区,39㎡,1室
坚基公馆,1599,源城城区,85㎡,2室
雅居乐花园,1500,源城城区,74㎡,2室
坚基公馆,1300,源城城区,33㎡,1室
香堤雅湾,2000,源城城区,122㎡,3室
龙光城,1800,源城城区,93㎡,3室
雅居乐花园,3000,源城城区,168㎡,5室
雅居乐花园,2000,源城城区,103㎡,3室
源江学苑,1600,东源城区,119㎡,4室
华达凯旋国际,1800,源城城区,52㎡,2室
雅居乐花园新地,2800,源城城区,130㎡,4室
万隆城,1300,源城城区,42㎡,1室
雅居乐花园新地,2300,源城城区,106.21㎡,3室
文景小区,1300,源城城区,118㎡,3室
坚基公馆,2600,源城城区,101.8㎡,3室
金色领地,1100,源城城区,75㎡,2室
坚基公馆,1400,源城城区,39㎡,1室
万隆城,1500,源城城区,45㎡,1室
丽日中心城,1100,源城城区,52㎡,1室
华达凯旋国际,1700,源城城区,75㎡,2室
雅居乐花园新地,2600,源城城区,109㎡,3室
雅居乐花园,1800,源城城区,99㎡,3室
理想家园,2600,东源城区,125㎡,3室
