楼盘,月租/元,城区,面积/m²,居室
深业塞纳湾,1800,东源城区,78,2
霸王花月亮湾,2200,东源城区,120,3
和平1号花园,1500,和平城区,100,3
和平碧桂园,2400,和平城区,140,4
华城国际,1600,和平城区,135,3
江山一品,2500,源城城区,108.61,3
碧桂园东江凤凰城,1000,源城城区,86,2
龙光城,1200,源城城区,87.25,3
和平中心花园,1100,和平城区,120,3
坚基公馆,1600,源城城区,85,2
邦达新村,1400,源城城区,130,3
龙光玖龙府,2000,源城城区,116,3
金沟湾,900,源城城区,35,1
德润东方银座,900,源城城区,53,1
坚基公馆,1200,源城城区,43.32,1
河源大道北117号住宅楼,800,源城城区,35,1
旺福小区,450,源城城区,22,1
恒大名都,1200,源城城区,51,1
碧桂园凤凰湾,2500,源城城区,188,4
润宏居,400,源城城区,28,1
恒大名都,1700,源城城区,70,2
龙光城,1800,源城城区,100,3
雅居乐花园,2500,源城城区,91,3
华达凯旋国际,2000,源城城区,75,2
坚基公馆,2600,源城城区,101.84,3
雅居乐花园,4200,源城城区,140,5
世纪年华,3000,源城城区,105,4
中泰金泽苑,1100,源城城区,68,2
坚基公馆,2000,源城城区,63,2
坚基公馆,1800,源城城区,59,2
祥福商住楼,1000,源城城区,99,3
雅居乐花园新地,2600,源城城区,106,3
金色领地,650,源城城区,39,1
坚基公馆,1599,源城城区,85,2
雅居乐花园,1500,源城城区,74,2
坚基公馆,1300,源城城区,33,1
香堤雅湾,2000,源城城区,122,3
龙光城,1800,源城城区,93,3
雅居乐花园,3000,源城城区,168,5
雅居乐花园,2000,源城城区,103,3
源江学苑,1600,东源城区,119,4
华达凯旋国际,1800,源城城区,52,2
雅居乐花园新地,2800,源城城区,130,4
万隆城,1300,源城城区,42,1
雅居乐花园新地,2300,源城城区,106.21,3
文景小区,1300,源城城区,118,3
坚基公馆,2600,源城城区,101.8,3
金色领地,1100,源城城区,75,2
坚基公馆,1400,源城城区,39,1
万隆城,1500,源城城区,45,1
丽日中心城,1100,源城城区,52,1
华达凯旋国际,1700,源城城区,75,2
雅居乐花园新地,2600,源城城区,109,3
雅居乐花园,1800,源城城区,99,3
理想家园,2600,东源城区,125,3
坚基美丽城,2300,源城城区,94.16,3
碧桂园凤雅苑,3300,源城城区,120,4
深业塞纳湾,1800,东源城区,78,2
华城国际,1600,和平城区,135,3
汇贤苑,950,源城城区,60,1
江山一品,2500,源城城区,108.61,3
龙光城,1200,源城城区,87.25,3
坚基公馆,1600,源城城区,85,2
和平碧桂园,2400,和平城区,140,4
和平中心花园,1100,和平城区,120,3
伊隆达小区,1500,和平城区,65,3
和平1号花园,1500,和平城区,100,3
恒大名都,1700,源城城区,70,2
坚基公馆,1200,源城城区,43.32,1
德润东方银座,900,源城城区,53,1
润宏居,400,源城城区,28,1
邦达新村,1400,源城城区,130,3
龙光城,1800,源城城区,100,3
龙光玖龙府,2000,源城城区,116,3
碧桂园凤凰湾,2500,源城城区,188,4
河源大道北117号住宅楼,800,源城城区,35,1
恒大名都,1200,源城城区,51,1
旺福小区,450,源城城区,22,1
金沟湾,900,源城城区,35,1
雅居乐花园,2500,源城城区,91,3
华达凯旋国际,2000,源城城区,75,2
坚基公馆,2600,源城城区,101.84,3
雅居乐花园,4200,源城城区,140,5
霸王花月亮湾,2200,东源城区,120,3
世纪年华,3000,源城城区,105,4
中泰金泽苑,1100,源城城区,68,2
坚基公馆,2000,源城城区,63,2
坚基公馆,1800,源城城区,59,2
祥福商住楼,1000,源城城区,99,3
雅居乐花园新地,2600,源城城区,106,3
金色领地,650,源城城区,39,1
坚基公馆,1599,源城城区,85,2
雅居乐花园,1500,源城城区,74,2
坚基公馆,1300,源城城区,33,1
香堤雅湾,2000,源城城区,122,3
龙光城,1800,源城城区,93,3
雅居乐花园,3000,源城城区,168,5
雅居乐花园,2000,源城城区,103,3
源江学苑,1600,东源城区,119,4
华达凯旋国际,1800,源城城区,52,2
雅居乐花园新地,2800,源城城区,130,4
万隆城,1300,源城城区,42,1
雅居乐花园新地,2300,源城城区,106.21,3
文景小区,1300,源城城区,118,3
坚基公馆,2600,源城城区,101.8,3
金色领地,1100,源城城区,75,2
坚基公馆,1400,源城城区,39,1
万隆城,1500,源城城区,45,1
丽日中心城,1100,源城城区,52,1
华达凯旋国际,1700,源城城区,75,2
雅居乐花园新地,2600,源城城区,109,3
雅居乐花园,1800,源城城区,99,3
理想家园,2600,东源城区,125,3
坚基美丽城,2300,源城城区,94.16,3
碧桂园凤雅苑,3300,源城城区,120,4
万隆城,1199,源城城区,43,1
坚基公馆,1200,源城城区,45,1
雅居乐花园,1800,源城城区,96,3
沁园春晓,900,源城城区,50,1
雅居乐花园,2000,源城城区,110.98,3
沁园春晓,900,源城城区,39,1
万隆城,1500,源城城区,45,1
雅居乐花园,1500,源城城区,61,1
雅居乐花园新地,2800,源城城区,120,4
坚基公馆,1800,源城城区,68,2
坚基公馆,1800,源城城区,65.5,1
华达凯旋国际,2100,源城城区,72,2
中泰金泽苑,900,源城城区,74,2
金色领地,1100,源城城区,73,2
沁园春晓,800,源城城区,50,1
华达凯旋国际,2800,源城城区,130,3
雅居乐花园,2000,源城城区,94.62,3
雅居乐花园新地,3300,源城城区,130.31,4
万隆城,1200,源城城区,40,1
坚基公馆,2300,源城城区,65,2
雅居乐花园,3000,源城城区,156,5
雅居乐花园,2000,源城城区,108,3
雅居乐花园,1700,源城城区,78,2
雅居乐花园,2000,源城城区,100,3
碧桂园东江凤凰城,1100,源城城区,90,3
雅居乐花园新地,2300,源城城区,91,3
希尔顿公馆,1700,源城城区,47,1
雅居乐花园,1500,源城城区,72,2
恒大名都,2500,源城城区,126,3
碧桂园东江凤凰城,2500,源城城区,125,4
理想家园,2800,东源城区,120,4
碧桂园凤凰湾,2500,源城城区,119,4
碧桂园凤凰湾,2000,源城城区,168,4
汇景御府中央,1500,源城城区,46.33,1
汇景御府中央,1600,源城城区,51,1
丰泽都市名苑,2300,源城城区,170,4
雅居乐花园,2000,源城城区,102,3
坚基公馆,2300,源城城区,84,2
恒大名都,1600,源城城区,53,1
雅居乐花园,1800,源城城区,74,2
坚基公馆,1400,源城城区,38.31,1
恒大名都,1900,源城城区,74,2
雅居乐花园,1500,源城城区,61,1
雅居乐花园,2100,源城城区,98,3
雅居乐花园,1500,源城城区,74,2
坚基公馆,1300,源城城区,33.88,1
碧桂园东江凤凰城,1600,源城城区,90,2
坚基公馆,2000,源城城区,80,2
雅居乐花园,1688,源城城区,80,2
坚基公馆,2600,源城城区,95,3
金色领地,600,源城城区,36,1
坚基公馆,2000,源城城区,84,2
碧桂园东江凤凰城,1600,源城城区,72,3
雅居乐花园,2000,源城城区,101.44,3
坚基公馆,1300,源城城区,43,1
雅居乐花园新地,2800,源城城区,110,4
长安新村,650,源城城区,43,1
汇景御府中央,1700,源城城区,47.86,1
金色领地,650,源城城区,32,1
雅居乐花园,1400,源城城区,61.05,1
坚基美好城,2600,源城城区,98,3
万隆城,1200,源城城区,43,1
碧桂园凤雅苑,1400,源城城区,96,3
雅居乐花园,1900,源城城区,74,2
碧桂园东江凤凰城,2000,源城城区,119,4
雅居乐君悦,2600,源城城区,130.44,3
雅居乐花园,1800,源城城区,87,2
雅居乐花园,1400,源城城区,61,2
坚基公馆,1700,源城城区,63.31,2
万隆城,1800,源城城区,43,1
雅居乐花园新地,2400,源城城区,91,3
坚基美好嘉园,600,源城城区,30,1
坚基公馆,2300,源城城区,84.7,2
兴业城,2100,源城城区,93,3
坚基公馆,2000,源城城区,63,2
华达凯旋城,2500,源城城区,150,4
雅居乐花园,1500,源城城区,61,1
坚基公馆,2300,源城城区,70,2
万隆城,1580,源城城区,41,1
坚基公馆,2300,源城城区,84.71,2
希尔顿公馆,1500,源城城区,46,1
坚基公馆,2200,源城城区,70,2
雅居乐花园,1400,源城城区,56,1
雅居乐花园新地,3000,源城城区,125,4
坚基公馆,2000,源城城区,48,2
万隆城,1500,源城城区,43,1
坚基公馆,2200,源城城区,84.7,2
雅居乐花园,1900,源城城区,75,2
坚基美好城,2600,源城城区,112,3
雅居乐花园,1500,源城城区,53,1
大世纪威尼斯花园,4500,源城城区,300,6
理想家园,2300,东源城区,125,3
坚基美丽城,2600,源城城区,124,4
金色领地,650,源城城区,35,1
万隆城,1500,源城城区,43,1
