community,mode,money,place,type1
深业塞纳湾,整租 | 万达广场附近 塞纳湾 2房出租,1800,东源城区,2室     78㎡
霸王花月亮湾,整租 | 东源 霸王花月亮湾 3房出租 拎包入住,2200,东源城区,3室     120㎡
和平1号花园,整租 | 出租和平一号电梯中高层，三房两厅，带家具家电，拎包入,1500,和平城区,3室     100㎡
和平碧桂园,整租 | 高档小区碧桂园4房2厅，精装修，家具家电齐全 拎包入,2400,和平城区,4室     140㎡
华城国际,整租 | 出租华城国际，1800包物业，3房2厅，带家具家电，,1600,和平城区,3室     135㎡
江山一品,整租 | 江山一品少有三房出租 看房方便 价格不贵,2500,源城城区,3室     108.61㎡
碧桂园东江凤凰城,整租 | 1000至2500元租碧桂园精装2至5房空房出租近市,1000,源城城区,2室     86.00㎡
龙光城,整租 | 龙光城 3室2厅2卫 1200元月 电梯房 精装修,1200,源城城区,3室     87.25㎡
和平中心花园,整租 | 出租，中心花园步梯2楼，三房两厅，带家具家电，拎包入,1100,和平城区,3室     120㎡
坚基公馆,整租 | 出租多套 坚基公馆 雅居乐花园 恒大名都 2房 3房,1600,源城城区,2室     85㎡
邦达新村,整租 | 河紫路邦达新村大三房出租，1400元！,1400,源城城区,3室     130㎡
龙光玖龙府,整租 | 出租多套 龙光玖龙府 3房 4房 家电齐全 拎包入住,2000,源城城区,3室     116㎡
金沟湾,整租 | 金沟湾 1室0厅1卫,900,源城城区,1室     35㎡
德润东方银座,整租 | 建设大道东方银座一房一厅900，小清新风格,900,源城城区,1室     53㎡
坚基公馆,整租 | 干净整洁，随时入住，坚基公馆 1200元 1室居 精,1200,源城城区,1室     43.32㎡
河源大道北117号住宅楼,整租 | 河源大道北117号住宅楼 1室厅1卫,800,源城城区,1室     35㎡
旺福小区,整租 | 本人房东 房子近人人乐 近广场 长期房 月租房 拎包,450,源城城区,1室     22㎡
恒大名都,整租 | 多套恒大名都 一房 租1200起 一房一厅租1400,1200,源城城区,1室     51㎡
碧桂园凤凰湾,整租 | 够笋！碧桂园凤凰湾188平方41，家私家电齐全，拎包,2500,源城城区,4室     188㎡
润宏居,整租 | 房间宽敞明亮，阳光充足，无中介，可短租，欢迎来电联系,400,源城城区,1室     28㎡
恒大名都,整租 | 出租多套雅居乐恒大名都两房，温馨舒适，租金1700起,1700,源城城区,2室     70㎡
龙光城,整租 | 河源大道南，龙光城，新三房，家电齐全，拎包入住，包物,1800,源城城区,3室     100㎡
雅居乐花园,整租 | 出租雅居乐一期正南三房，仅租2500元即可拎包入住,2500,源城城区,3室     91㎡
华达凯旋国际,整租 | （万隆城旁）2房 凯旋国际 温馨小区 家私电器齐全,2000,源城城区,2室     75㎡
坚基公馆,整租 | 坚基公馆 3室2厅2卫 2600元月 电梯房 精装修,2600,源城城区,3室     101.84㎡
雅居乐花园,整租 | 坚基 雅居乐花园 5房2厅 领包入住,4200,源城城区,5室     140㎡
世纪年华,整租 | 世纪年华 4房2厅2卫 家电齐全 拎包入住 3000,3000,源城城区,4室     105㎡
中泰金泽苑,整租 | 万绿广场中心 中泰金泽苑 2房2厅仅租1100,1100,源城城区,2室     68㎡
坚基公馆,整租 | 坚基公馆，精装2房拎包入住,2000,源城城区,2室     63㎡
坚基公馆,整租 | 多套坚基公馆两房两厅出租，家电齐全 拎包入住1800,1800,源城城区,2室     59㎡
祥福商住楼,整租 | 出租巴蜀国际对面 裕华楼 家私电齐全拎包入住 仅租1,1000,源城城区,3室     99㎡
雅居乐花园新地,整租 | 雅居乐花园新地 3室2厅2卫 2600元月 配套齐全,2600,源城城区,3室     106㎡
金色领地,整租 | 可押一付一 可短租 大量金色领地精装一房出租650起,650,源城城区,1室     39㎡
坚基公馆,整租 | 出租 希尔顿旁坚基公馆多套两房 拎包入住1600元起,1599,源城城区,2室     85㎡
雅居乐花园,整租 | 雅居乐花园 2室2厅1卫 1500元月 精装修，拎包,1500,源城城区,2室     74㎡
坚基公馆,整租 | 坚基公馆 1室1厅1卫 1300元月拎包入住,1300,源城城区,1室     33㎡
香堤雅湾,整租 | 香堤雅湾 滨水公园对面 电梯精装3房,2000,源城城区,3室     122㎡
龙光城,整租 | 龙光城 3室2厅2卫 1800元月 电梯房 精装修,1800,源城城区,3室     93㎡
雅居乐花园,整租 | 雅居乐花园 5室2厅2卫 3000元月 精装修 拎包,3000,源城城区,5室     168㎡
雅居乐花园,整租 | 雅居乐花园中间楼层视野开阔3房2厅2000元家私家电,2000,源城城区,3室     103㎡
源江学苑,整租 | 出租河源广技师对面源江学苑 120平4房仅租1600,1600,东源城区,4室     119㎡
华达凯旋国际,整租 | 华达凯旋国际 2室2厅1卫 1800元月 电梯房 精,1800,源城城区,2室     52㎡
雅居乐花园新地,整租 | 雅居乐花园4房2厅2卫生间隔断吗童,2800,源城城区,4室     130㎡
万隆城,整租 | 万隆城公寓 独立厨房阳台 家电齐全 有钥匙随时看房,1300,源城城区,1室     42㎡
雅居乐花园新地,整租 | 雅居乐花园新地 3室2厅2卫 2300元月 南北通透,2300,源城城区,3室     106.21㎡
文景小区,整租 | 文景小区电梯三楼大三房两厅，超长阳台朝南，居家舒服，,1300,源城城区,3室     118㎡
坚基公馆,整租 | 坚基公馆3房2厅2卫精装修家私家电齐全包物业2600,2600,源城城区,3室     101.8㎡
金色领地,整租 | 大量金色领地精装两房 家电齐全 拎包入住1100起,1100,源城城区,2室     75㎡
