chaoxiang,danjia,diqu,diqu1,diqu2,diqu3,jianjie,l1,l2,l3,l4,l5,l6,louceng,square,time,zongjia,
南,7046元/㎡,龙光玖云台,东源,东源城区,东源大道,62万买精装修3房 朝南 看花园 近万达送家电 支持公积金,3,室,2,厅,2,卫,中层(共31层),88㎡,2019年建造,62,
南,3922元/㎡,恒大雅苑,源城,源城城区,河源大道,恒大雅苑40万买3房 送家电 送车位 送10年物业费 员工价,3,室,2,厅,1,卫,低层(共31层),102㎡,2018年建造,40,
南北,7208元/㎡,龙光玖誉湖,源城,源城城区,万绿湖大道,接送，找我购买有额外折扣送物业五年,3,室,2,厅,2,卫,低层(共29层),111㎡,2020年建造,80,
南,5186元/㎡,碧桂园凤凰名筑,东源,东源城区,新河大道,国庆特惠 碧桂园凤凰名筑3房精装修 首付低仅56万楼层任选,3,室,2,厅,2,卫,中层(共32层),108㎡,2021年建造,56,
南北,5748元/㎡,敏捷悦江府,源城,源城城区,科技七路,50万买精装修江景3房 首付5 万 送家电 近公园 员工价,3,室,2,厅,2,卫,中层(共24层),87㎡,2018年建造,50,
南北,7904元/㎡,碧桂园凤凰湾,源城,源城城区,东环路,江东新区碧桂园凤凰湾南北通户型精装三房出售,3,室,2,厅,2,卫,低层(共17层),124㎡,2018年建造,98,
南北,5618元/㎡,龙光城,源城,源城城区,河源大道,龙光城精装3房两厅两卫 大城,2,室,2,厅,2,卫,低层(共31层),89㎡,2020年建造,50,
南北,12182元/㎡,碧桂园东江凤凰城,源城,源城城区,东环路,豪装 碧桂园凤凰城三面光别墅220平方6房送两车位268万,6,室,2,厅,5,卫,共3层,220㎡,2010年建造,268,
北,6154元/㎡,凤馨苑,源城,源城城区,东环路,江东新区中骏世界城旁凤馨苑精装修三房，视野开阔,3,室,2,厅,2,卫,中层(共30层),117㎡,2018年建造,72,
南北,4832元/㎡,汇景九里湾,东源,东源城区,东源大道,43w湾买精装3房 小区自带9年义务学 校 送家电,3,室,2,厅,1,卫,中层(共33层),89㎡,2018年建造,43,
南北,8306元/㎡,宝豪御龙湾二期,源城,源城城区,新兴路101号,笋房急售御龙湾二期江景房豪装瓷片上墙4房118平 仅售98万,4,室,2,厅,2,卫,低层(共18层),118㎡,2015年建造,98,
南,5613元/㎡,河源美的城,东源,东源城区,东环路,美的城 55万买智能朝南精装3房 支持公积金贷款,3,室,2,厅,2,卫,中层(共32层),98㎡,2018年建造,55,
南,3432元/㎡,恒大雅苑,源城,源城城区,河源大道,手里5千就能有一套自己的房子 市中心带装修3房,3,室,2,厅,1,卫,中层(共32层),102㎡,2021年建造,35,
南,5327元/㎡,兴业城,源城,源城城区,兴业大道,首付3 万买精装朝南3房 中央活力区 支持公积金贷款 员工价,3,室,2,厅,2,卫,低层(共32层),92㎡,2018年建造,49,
南,6000元/㎡,坚基风光里,源城,源城城区,滨江大道西,坚基风光里高铁首站一线滨江大城，南北通透户型江边的公园生活。,3,室,2,厅,2,卫,低层(共17层),75㎡,2021年建造,45,
南北,6356元/㎡,宝豪御龙湾二期,源城,源城城区,新兴路101号,笋房急售 御龙湾二期江景小区南北通透4房118平 仅售75万,4,室,2,厅,2,卫,低层(共18层),118㎡,2016年建造,75,
南,5956元/㎡,龙光城,源城,源城城区,河源大道,首付5 千买市区精装3房 支持公积金贷款 送车位 送家电,3,室,2,厅,2,卫,中层(共32层),89㎡,2018年建造,53,
南,3927元/㎡,东江1号公馆,龙川,龙川城区,沿江路,东江一号公馆附近 楼梯中层格局方正采光好 交通方便 红本在手,3,室,2,厅,1,卫,低层(共8层),109㎡,2011年建造,42.8,
南,3530元/㎡,恒大雅苑,源城,源城城区,河源大道,市区36万买精装3房 员工价 送家电 小区环境像公园,3,室,2,厅,1,卫,中层(共31层),102㎡,2021年建造,36,
南北,7576元/㎡,时代倾城,源城,源城城区,凤凰路,现房 时代倾城 精装三房员工价 中骏商圈 近公立中小 学,3,室,2,厅,2,卫,中层(共33层),99㎡,2020年建造,75,
南北,5814元/㎡,雅居乐金麟府,源城,源城城区,越王大道,万达商圈 雅居乐金麟府 超宽楼间距 支持公积金贷款,4,室,2,厅,2,卫,中层(共32层),129㎡,2019年建造,75,
南北,7864元/㎡,雅居乐花园新地,源城,源城城区,文昌路,亏本出售！业主回款，雅居乐新地四房，装修房毛胚价,4,室,2,厅,2,卫,低层(共32层),132㎡,2019年建造,103.8,
南北,5536元/㎡,龙光城,源城,源城城区,河源大道,市中心的房子 手里5千就能买 南北通4房 带中小 学 送车位,4,室,2,厅,2,卫,中层(共33层),112㎡,2021年建造,62,
南,4527元/㎡,中昂祥云府,源城,源城城区,科技七路,43万买朝南看江3房 送家电 送车位 首付5 万 支持公积金,3,室,2,厅,2,卫,中层(共32层),95㎡,2020年建造,43,
东,7937元/㎡,雅居乐花园,源城,源城城区,越王大道247号,降价了。雅居乐，四房两卫，瓷片上墙，仅100万,4,室,2,厅,2,卫,低层(共32层),126㎡,2015年建造,100,
南,5883元/㎡,雅居乐金麟府,源城,源城城区,越王大道,雅居乐金麟府 万达坚基双商圈 超宽楼间距 支持公积金贷款,3,室,2,厅,2,卫,低层(共30层),102㎡,2018年建造,60,
南北,5999元/㎡,龙光城(新房),源城,源城城区,源南镇河源大道与创业大道交汇处,50来万买3房精装修 朝南 送车位 送家电 支持公积金贷款,2,室,2,厅,2,卫,,89㎡,,53.39,
南北,5618元/㎡,龙光城,源城,源城城区,河源大道,首付4 万买市区精装3房 南北通透双阳台 送车位 员工价,3,室,2,厅,2,卫,中层(共31层),89㎡,2019年建造,50,
东南,3543元/㎡,幸福家园,和平县,和平城区,龙湖南路23号,龙湖幸福家园二房二厅一卫一阳台售价24.8元,2,室,2,厅,1,卫,低层(共19层),70㎡,2017年建造,24.8,
南,5682元/㎡,龙光城,源城,源城城区,河源大道,首付5 万买精装修3房 送家电 送10年物业费 送车位员工价,3,室,2,厅,2,卫,中层(共30层),88㎡,2018年建造,50,
南,4464元/㎡,新城家和小区,龙川,龙川城区,海东路,家和小区旁边 楼梯中层 格局方正采光好 首付20万左右 笋盘,4,室,2,厅,2,卫,中层(共8层),125㎡,2013年建造,55.8,
南,5506元/㎡,雅居乐花园,源城,源城城区,越王大道247号,总价49万入住市区 雅居乐明珠城 刚需三房 6米阳台,3,室,2,厅,2,卫,中层(共33层),89㎡,2020年建造,49,
南北,3530元/㎡,恒大雅苑,源城,源城城区,河源大道,5千买市中心带装修的房子 送家电 朝南看湖景 视野无遮挡,3,室,2,厅,1,卫,中层(共32层),102㎡,2021年建造,36,
南北,4091元/㎡,中昂祥云府,源城,源城城区,科技七路,手里3千就能买市区江景4房 南北通 近学 校 支持公积金,4,室,2,厅,2,卫,中层(共33层),110㎡,2021年建造,45,
南,4106元/㎡,中昂祥云府,源城,源城城区,科技七路,手里3千买市中心江景3房 大阳台 视野无遮挡 月供2800,3,室,2,厅,2,卫,中层(共33层),95㎡,2021年建造,39,
南,6728元/㎡,万达东江城,源城,源城城区,越王大道,74万朝南4房 首付 9万 自 中小 学 送家电,4,室,2,厅,2,卫,中层(共32层),110㎡,2018年建造,74,
南,4963元/㎡,碧水轩,源城,源城城区,沿江中路16号,笋房急售碧水轩一线江景房朝南看亚洲高喷4房133平仅售66万,4,室,2,厅,2,卫,共5层,133㎡,2006年建造,66,
南北,5562元/㎡,龙光城,源城,源城城区,河源大道,手里5千就能买房 市中心 近中小 学 首年免月供 送车位,3,室,2,厅,2,卫,中层(共33层),89㎡,2021年建造,49.5,
南,4759元/㎡,龙腾华府,龙川,龙川城区,登峰路东,龙川县新城一小附近朝南 精装修 带家私家电 仅需26.8万,2,室,1,厅,1,卫,共5层,56.3㎡,2000年建造,26.8,
南,6169元/㎡,山湖海悦府,源城,源城城区,梧桐三路,68万买精装修大3房 小区对面就是中小 学 员工价 送家电,3,室,2,厅,2,卫,中层(共32层),107㎡,2021年建造,66,
南,5618元/㎡,龙光城,源城,源城城区,河源大道,龙光城 首付5 千买市区精装3房 支持公积金贷款 送车位,3,室,2,厅,2,卫,中层(共32层),89㎡,2018年建造,50,
南北,5527元/㎡,龙光城,源城,源城城区,河源大道,市区带装修的房子 5千就能购房 6.7米大阳台 近中小 学,4,室,2,厅,2,卫,中层(共33层),112㎡,2021年建造,61.9,
南,5613元/㎡,碧桂园未来城,源城,源城城区,河源大道,市区5字头 精装三房 月供2300 支持公积金 配套成熟,3,室,2,厅,2,卫,中层(共33层),98㎡,2020年建造,55,
南,7046元/㎡,龙光玖云台,东源,东源城区,东源大道,万达旁 龙光玖云台 62万买精装3房 南北通透双阳台,3,室,2,厅,2,卫,低层(共33层),88㎡,2018年建造,62,
南北,4681元/㎡,运恒花园,源城,源城城区,中山大道8号,（笋）运恒花园 买市区电梯4房 文化广场 万隆城 就在家门口,4,室,2,厅,2,卫,中层(共13层),147㎡,2008年建造,68.8,
