didian,leixing,money,xiaoqu,ziduan1
[ 源城区 源城区 ] 河源市源城区河源大道与福星路交汇处,住宅,5500,河源雅居乐明珠城,在售
[ 江东新区 江东新区 ] 河源市江东新区城市建设起步区建设大道...,住宅,8200,河源星河丹堤,在售
[ 龙川县 龙川县 ] 隆江路龙川实验中学北行800米,住宅,6000,碧桂园·凤凰上城,在售
[ 源城区 源城区 ] 河源大道北高塘路段,住宅,6864,友诚丽苑,在售
[ 源城区 源城区 ] 源南镇河源大道与创业大道交汇处,住宅,4999,龙光城,在售
[ 东源县 东源县 ] 东源新河大道中,住宅,5900,新河中央,在售
[ 东源县 东源县 ] 广场西路东源县第三小学旁,住宅,7999,河源雅居乐美的·源著,在售
[ 源城区 源城区 ] 河源市源城区滨江大道西（宝马4S店旁）,住宅,6500,坚基·风光里,在售
[ 源城区 源城区 ] 河源市源城区越王大道与纬十五路交汇处,住宅,5999,河源万达东江城,在售
[ 源城区 源城区 ] 河源市源城区越王大道东,住宅,6000,汇景·九里湾花园,在售
[ 东源县 东源县 ] 越王大道段（清平路与新一路交汇处）,住宅,6495,阳光美居,待售
[ 紫金县 紫金县 ] 紫金县紫城镇乌石米西墩,住宅,4500,嘉葆润永安新城,在售
[ 源城区 源城区 ] 河源市源城区源南镇铁路东路（货场路）...,住宅,6200,江湾·湖光印,在售
[ 源城区 源城区 ] 广东省河源市深业路与东江大道交汇处,住宅,7800,河源万达CBD,在售
[ 源城区 源城区 ] 河源市越王大道与纬十七路交汇处,住宅,5900,雅居乐金麟府,在售
[ 源城区 源城区 ] 客天下路1号（G25高速埔前出口2公里处...,住宅,9000,河源客天下国际旅游度假区,在售
[ 江东新区 江东新区 ] 河源市江东新区胜利大桥旁,住宅,8450,河源·中骏世界城,在售
[ 东源县 东源县 ] 河源市东源大道与行政大道交汇处,住宅,6000,锦云颐和花园,在售
[ 东源县 东源县 ] 河源市东源县东源大道中（霸王花新城对...,住宅,5800,霸王花·东城国际,在售
[ 东源县 东源县 ] 河源市东源县新河大道东源县城综合市场...,住宅,6388,河源美的云筑,在售
[ 江东新区 江东新区 ] 河源市·江东新区·高铁新城·东环路旁,住宅,4750,富力天禧花园,在售
[ 源城区 源城区 ] 河源市越王大道与深业路交汇处（河源万...,住宅,7800,龙光玖云臺,在售
[ 江东新区 江东新区 ] 建设起步区碧桂园凤凰城北、东环路西面,住宅,9500,时代倾城,在售
[ 源城区 源城区 ] 河源市沿江东路（体育馆向东100米）,住宅,8800,东江盛世,在售
[ 源城区 源城区 ] 河源市商业中心桃花水母大剧院旁,商住,8500,坚基·春天里,在售
[ 和平县 和平县 ] 和平县阳明镇福和文体公园旁,住宅,5900,碧桂园·公园上城,在售
